date,returns,vol_current,vol_mean,vol_std,vol_shock_k2.0,vol_shock_k2.5,vol_shock_k3.0,vol_shock_k3.5
2021-04-07,0.0019516758605115925,0.0057894744704128556,0.006656300569723166,0.002264531338113915,0,0,0,0
2021-04-08,-0.006028751267728061,0.005744738922212538,0.0063414749630899825,0.0018818368840118806,0,0,0,0
2021-04-09,-0.0026156175853719876,0.00562277670167265,0.006010476880912774,0.0012729020754529594,0,0,0,0
2021-04-12,0.01687965834727123,0.0059591416747590414,0.005795232939264118,0.0007870236072819431,0,0,0,0
2021-04-13,-0.003289552477144908,0.005981065699867826,0.005644601806844381,0.00024271914248493126,0,0,0,0
2021-04-14,0.006040069532895931,0.0059682569598255375,0.00566167937985192,0.0002531837870721976,0,0,0,0
2021-04-15,-0.006863767746661642,0.0058504328613623,0.005688568575878826,0.0002424961880159529,0,0,0,0
2021-04-16,-0.006847063539787479,0.005840965758619546,0.005719881566078602,0.0002172014191606867,0,0,0,0
2021-04-19,0.017655464152222855,0.0060385518533458546,0.005758830267910301,0.00019943127770861925,0,0,0,0
2021-04-20,0.0061082993542656006,0.006049470476006356,0.005797466804938206,0.00017439952094993637,0,0,0,0
2021-04-22,-0.03190147286088252,0.007786939328479845,0.0058990077215210004,0.0004772712434417816,1,1,1,1
2021-04-23,0.016867293251453752,0.0077799284159237115,0.005997023768452592,0.0006352531326064414,1,1,0,0
2021-04-26,-0.026238856895709373,0.008347982448014574,0.006120080219969173,0.0008233243176569931,1,1,0,0
2021-04-27,0.0032736455086077587,0.008508069246642368,0.00626375380995801,0.0009715248938541324,1,0,0,0
2021-04-28,0.008034433285509346,0.008519236282796269,0.006412127630967946,0.00107784682431831,0,0,0,0
2021-04-29,0.008002927900451429,0.008422030257314425,0.006562877904445767,0.0011389812091250977,0,0,0,0
2021-05-04,0.0022672443702143052,0.008247075362769644,0.006676596286807989,0.0011893799471961455,0,0,0,0
2021-05-05,0.011455482208984069,0.008233230060589408,0.0067988746976797385,0.0012185351987726613,0,0,0,0
2021-05-06,-0.004664008341093484,0.008311531878599046,0.006933740744041589,0.0012297337993547178,0,0,0,0
2021-05-07,-0.00700480580855134,0.008200856830611164,0.007060087774491247,0.0012232788776095297,0,0,0,0
2021-05-10,0.014309757531345335,0.008050552374835755,0.007173141669712393,0.0012040010344297031,0,0,0,0
2021-05-11,-0.0028104606297336687,0.00817203283874083,0.007294506365538807,0.0011744116712519958,0,0,0,0
2021-05-12,0.010389796503295967,0.00797703286304578,0.007412219173607465,0.0011144894735156383,0,0,0,0
2021-05-13,-0.0055945598814898245,0.00790417572290615,0.007509470876014819,0.0010647727234950396,0,0,0,0
